beta,gamma,reproduction_number,s0,i0,r0,max_infected,time_to_peak,final_removed,max_population_deviation
0.4285714285714286,0.05,8.571428571428571,0.99,0.01,0.0,0.6338449777722677,18.0,0.9645311105087802,7.771561172376096e-16
0.4285714285714286,0.05,8.571428571428571,0.972,0.028000000000000004,0.0,0.6359842770452769,15.200000000000001,0.9690660277503232,7.771561172376096e-16
0.4285714285714286,0.05,8.571428571428571,0.954,0.046000000000000006,0.0,0.6381673317220905,13.8,0.9710618890090705,6.661338147750939e-16
0.4285714285714286,0.05,8.571428571428571,0.9359999999999999,0.064,0.0,0.6403933760930859,12.8,0.9723296384134724,1.1102230246251565e-15
0.4285714285714286,0.05,8.571428571428571,0.918,0.082,0.0,0.642630623972723,12.0,0.9732524382925205,1.5543122344752192e-15
0.4285714285714286,0.05,8.571428571428571,0.9,0.1,0.0,0.6449432662844145,11.4,0.9739750288871777,7.771561172376096e-16
0.4285714285714286,0.1,4.285714285714286,0.99,0.01,0.0,0.4294276867257201,18.0,0.9831557171293974,6.661338147750939e-16
0.4285714285714286,0.1,4.285714285714286,0.972,0.028000000000000004,0.0,0.4336885757703315,14.8,0.9840624017052945,4.440892098500626e-16
0.4285714285714286,0.1,4.285714285714286,0.954,0.046000000000000006,0.0,0.43804106382436914,13.0,0.9845926856085917,4.440892098500626e-16
0.4285714285714286,0.1,4.285714285714286,0.9359999999999999,0.064,0.0,0.4425068580553336,12.0,0.9850240231701831,4.440892098500626e-16
0.4285714285714286,0.1,4.285714285714286,0.918,0.082,0.0,0.4470183882573493,11.0,0.9854103348362551,4.440892098500626e-16
0.4285714285714286,0.1,4.285714285714286,0.9,0.1,0.0,0.4516612272224825,10.4,0.9857709708199848,5.551115123125783e-16
0.4285714285714286,0.15000000000000002,2.8571428571428568,0.99,0.01,0.0,0.2860638069577451,18.8,0.9301925316962508,1.1102230246251565e-15
0.4285714285714286,0.15000000000000002,2.8571428571428568,0.972,0.028000000000000004,0.0,0.2924808446632837,14.8,0.931955762189136,5.551115123125783e-16
0.4285714285714286,0.15000000000000002,2.8571428571428568,0.954,0.046000000000000006,0.0,0.2990192167574973,12.8,0.9335765528927664,1.3322676295501878e-15
0.4285714285714286,0.15000000000000002,2.8571428571428568,0.9359999999999999,0.064,0.0,0.3056720745453022,11.4,0.9351515022874444,6.661338147750939e-16
0.4285714285714286,0.15000000000000002,2.8571428571428568,0.918,0.082,0.0,0.31248840330951455,10.4,0.9366983490466576,6.661338147750939e-16
0.4285714285714286,0.15000000000000002,2.8571428571428568,0.9,0.1,0.0,0.31941852725710984,9.600000000000001,0.9382233517086714,1.9984014443252818e-15
0.4285714285714286,0.2,2.142857142857143,0.99,0.01,0.0,0.18234847118348746,20.0,0.8340432417972635,4.440892098500626e-16
0.4285714285714286,0.2,2.142857142857143,0.972,0.028000000000000004,0.0,0.1908966657628492,15.200000000000001,0.8388241379008207,5.551115123125783e-16
0.4285714285714286,0.2,2.142857142857143,0.954,0.046000000000000006,0.0,0.19963138759937823,12.600000000000001,0.8433773895385612,8.881784197001252e-16
0.4285714285714286,0.2,2.142857142857143,0.9359999999999999,0.064,0.0,0.2085160740328832,11.0,0.8477986454242393,8.881784197001252e-16
0.4285714285714286,0.2,2.142857142857143,0.918,0.082,0.0,0.21757748067570687,9.600000000000001,0.8521088875111271,6.661338147750939e-16
0.4285714285714286,0.2,2.142857142857143,0.9,0.1,0.0,0.22682477040252128,8.6,0.8563184641087676,4.440892098500626e-16
0.4285714285714286,0.25,1.7142857142857144,0.99,0.01,0.0,0.10811107219906126,21.6,0.7032039313832424,8.881784197001252e-16
0.4285714285714286,0.25,1.7142857142857144,0.972,0.028000000000000004,0.0,0.11881316205113739,15.200000000000001,0.7141786750939947,7.771561172376096e-16
0.4285714285714286,0.25,1.7142857142857144,0.954,0.046000000000000006,0.0,0.12971534879770705,12.0,0.7243693360513855,4.440892098500626e-16
0.4285714285714286,0.25,1.7142857142857144,0.9359999999999999,0.064,0.0,0.14082474415450374,10.0,0.734029818912332,8.881784197001252e-16
0.4285714285714286,0.25,1.7142857142857144,0.918,0.082,0.0,0.15215489325248666,8.4,0.7432423102439286,8.881784197001252e-16
0.4285714285714286,0.25,1.7142857142857144,0.9,0.1,0.0,0.1637066487950313,7.2,0.7520597936545863,4.440892098500626e-16
0.4285714285714286,0.3,1.4285714285714288,0.99,0.01,0.0,0.0573650632568275,23.200000000000003,0.5451706817683251,1.1102230246251565e-15
0.4285714285714286,0.3,1.4285714285714288,0.972,0.028000000000000004,0.0,0.07020666969154392,14.4,0.5682434740664842,1.1102230246251565e-15
0.4285714285714286,0.3,1.4285714285714288,0.954,0.046000000000000006,0.0,0.083289264935747,10.4,0.5882374025788689,5.551115123125783e-16
0.4285714285714286,0.3,1.4285714285714288,0.9359999999999999,0.064,0.0,0.0966233071175144,8.0,0.6063516514383166,6.661338147750939e-16
0.4285714285714286,0.3,1.4285714285714288,0.918,0.082,0.0,0.11020948630539577,6.4,0.6230158700487403,3.3306690738754696e-16
0.4285714285714286,0.3,1.4285714285714288,0.9,0.1,0.0,0.12407371990127587,5.0,0.6384996655176813,4.440892098500626e-16
0.5214285714285715,0.05,10.428571428571429,0.99,0.01,0.0,0.6802039824785578,14.8,0.9693255504299664,1.1102230246251565e-15
0.5214285714285715,0.05,10.428571428571429,0.972,0.028000000000000004,0.0,0.6820005921143227,12.600000000000001,0.9725223420446436,6.661338147750939e-16
0.5214285714285715,0.05,10.428571428571429,0.954,0.046000000000000006,0.0,0.6837736562472211,11.600000000000001,0.9739532368515593,6.661338147750939e-16
0.5214285714285715,0.05,10.428571428571429,0.9359999999999999,0.064,0.0,0.6856249891674472,10.8,0.9748694312468599,4.440892098500626e-16
0.5214285714285715,0.05,10.428571428571429,0.918,0.082,0.0,0.6874917192270426,10.200000000000001,0.9755396327451888,1.1102230246251565e-15
0.5214285714285715,0.05,10.428571428571429,0.9,0.1,0.0,0.6893336794324707,9.8,0.9760661785574739,7.771561172376096e-16
0.5214285714285715,0.1,5.214285714285714,0.99,0.01,0.0,0.49336174048759,14.600000000000001,0.9930914770534597,3.3306690738754696e-16
0.5214285714285715,0.1,5.214285714285714,0.972,0.028000000000000004,0.0,0.4969211887160462,12.200000000000001,0.9934942220052474,4.440892098500626e-16
0.5214285714285715,0.1,5.214285714285714,0.954,0.046000000000000006,0.0,0.5004787280585983,10.8,0.9937216413103641,1.3322676295501878e-15
0.5214285714285715,0.1,5.214285714285714,0.9359999999999999,0.064,0.0,0.5041743808399944,10.0,0.9939016286567014,9.992007221626409e-16
0.5214285714285715,0.1,5.214285714285714,0.918,0.082,0.0,0.5078713674895421,9.4,0.994059744531385,6.661338147750939e-16
0.5214285714285715,0.1,5.214285714285714,0.9,0.1,0.0,0.5116952280062329,8.8,0.9942054055062529,5.551115123125783e-16
0.5214285714285715,0.15000000000000002,3.476190476190476,0.99,0.01,0.0,0.3567637838765732,15.0,0.965337441614826,8.881784197001252e-16
0.5214285714285715,0.15000000000000002,3.476190476190476,0.972,0.028000000000000004,0.0,0.3620199690453278,12.200000000000001,0.966098737650494,6.661338147750939e-16
0.5214285714285715,0.15000000000000002,3.476190476190476,0.954,0.046000000000000006,0.0,0.36741626771947583,10.600000000000001,0.9668257378111773,1.1102230246251565e-15
0.5214285714285715,0.15000000000000002,3.476190476190476,0.9359999999999999,0.064,0.0,0.3729015658297242,9.600000000000001,0.967541328182076,6.661338147750939e-16
0.5214285714285715,0.15000000000000002,3.476190476190476,0.918,0.082,0.0,0.37847905767211193,8.8,0.9682498459656076,1.1102230246251565e-15
0.5214285714285715,0.15000000000000002,3.476190476190476,0.9,0.1,0.0,0.38419198339192273,8.200000000000001,0.9689528841709394,6.661338147750939e-16
0.5214285714285715,0.2,2.607142857142857,0.99,0.01,0.0,0.25269229679590216,15.600000000000001,0.9069085475069865,5.551115123125783e-16
